Valor Participacao (â‚¬),N. Obs,% Total,Valor Total,% Total
0,201,0.2503113325,,0
]0-100.000[ ,182,0.2266500623,5201758.6,0.004627857191
[100.000-500.000[,159,0.198007472,42886096.06,0.03815454413
[500.000-1.000.000[,70,0.08717310087,47646934.61,0.04239012725
[1.000.000-5.000.000[ ,140,0.1743462017,317754210.6,0.282696915
[5.000.000-10.000.000[ ,32,0.0398505604,226074532.2,0.2011321036
[10.000.000-20.000.000[,10,0.01245330012,141912827.6,0.1262558204
[20.000.000-100.000.000[,9,0.01120797011,342533821.6,0.3047426325
> 100.000.000 ,0,0,,0
Total,803,1,1124010181,1